else_smt,Smt_freqval,Particle_num,x,y
1588,162,25,941.2179999999998,533.221
1786,162,25,904.8860000000001,530.737
1984,162,25,886.463,524.9019999999999
2080,162,25,867.7549999999999,529.5899999999999
2180,162,25,857.6859999999999,529.7149999999999
2280,162,25,846.825,529.9979999999999
2380,162,25,835.857,530.477
2480,162,25,828.7270000000001,531.0040000000001
2580,162,25,818.8633333333333,529.9533333333334
2870,185,47,947.9399999999999,521.8266666666667
